study_accession	read_count	base_count	fastq_bytes	fastq_ftp
PRJEB3246	207579467	41931052334	18575686207;18076781895	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174310/ERR174310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174310/ERR174310_2.fastq.gz
PRJEB3246	204362093	41281142786	18248823456;17769839743	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174311/ERR174311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174311/ERR174311_2.fastq.gz
PRJEB3246	213513273	43129681146	19017353051;18910960496	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174312/ERR174312_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174312/ERR174312_2.fastq.gz
PRJEB3246	203487163	41104406926	18577393439;17965574183	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174313/ERR174313_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174313/ERR174313_2.fastq.gz
PRJEB3246	214555817	43340275034	19050784854;18972370238	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174314/ERR174314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174314/ERR174314_2.fastq.gz
PRJEB3246	223583162	45163798724	19806773322;19320910140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174315/ERR174315_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174315/ERR174315_2.fastq.gz
PRJEB3246	216971445	43828231890	18760369560;18438649526	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174316/ERR174316_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174316/ERR174316_2.fastq.gz
PRJEB3246	215593776	43549942752	19098210051;17983447683	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174317/ERR174317_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174317/ERR174317_2.fastq.gz
PRJEB3246	213656844	43158682488	18785830668;18205587570	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174318/ERR174318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174318/ERR174318_2.fastq.gz
PRJEB3246	213281389	43082840578	18356872110;18090015051	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174319/ERR174319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174319/ERR174319_2.fastq.gz
PRJEB3246	227313564	45917339928	19719568692;19525809209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174320/ERR174320_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174320/ERR174320_2.fastq.gz
PRJEB3246	211455391	42713988982	18543254138;18037873276	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174321/ERR174321_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174321/ERR174321_2.fastq.gz
PRJEB3246	212657647	42956844694	18400980017;18630794935	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174322/ERR174322_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174322/ERR174322_2.fastq.gz
PRJEB3246	209921387	42404120174	18184788812;18342862504	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174323/ERR174323_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174323/ERR174323_2.fastq.gz
PRJEB3246	223571196	45161381592	18743781888;19222310864	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174324/ERR174324_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174324/ERR174324_2.fastq.gz
PRJEB3246	215927761	43617407722	17902132764;18289863801	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174325/ERR174325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174325/ERR174325_2.fastq.gz
PRJEB3246	212759388	42977396376	17546652345;17873203777	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174326/ERR174326_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174326/ERR174326_2.fastq.gz
PRJEB3246	211682743	42759914086	17497696165;17928042004	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174327/ERR174327_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174327/ERR174327_2.fastq.gz
PRJEB3246	211437919	42710459638	17471405663;17966903963	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174328/ERR174328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174328/ERR174328_2.fastq.gz
PRJEB3246	211710517	42765524434	17507479259;17902615240	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174329/ERR174329_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174329/ERR174329_2.fastq.gz
PRJEB3246	209646017	42348495434	17280401940;17672916455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174330/ERR174330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174330/ERR174330_2.fastq.gz
PRJEB3246	221290320	44700644640	18541831721;19037135738	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174331/ERR174331_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174331/ERR174331_2.fastq.gz
PRJEB3246	199926151	40385082502	16823261875;16894895387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174332/ERR174332_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174332/ERR174332_2.fastq.gz
PRJEB3246	196779406	39749440012	16502112243;16563744947	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174333/ERR174333_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174333/ERR174333_2.fastq.gz
PRJEB3246	198734315	40144331630	16710892002;16810526395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174334/ERR174334_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174334/ERR174334_2.fastq.gz
PRJEB3246	197606617	39916536634	16763176891;16742035200	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174335/ERR174335_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174335/ERR174335_2.fastq.gz
PRJEB3246	200477709	40496497218	17046746614;16986969723	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174336/ERR174336_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174336/ERR174336_2.fastq.gz
PRJEB3246	201494060	40701800120	17162763985;17128125774	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174337/ERR174337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174337/ERR174337_2.fastq.gz
PRJEB3246	200964798	40594889196	17170805562;17088682738	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174338/ERR174338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174338/ERR174338_2.fastq.gz
PRJEB3246	196784117	39750391634	16766722200;16763236886	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174339/ERR174339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174339/ERR174339_2.fastq.gz
PRJEB3246	147444746	29783838692	11988730391;11946156799	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174340/ERR174340_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174340/ERR174340_2.fastq.gz
PRJEB3246	187135789	37801429378	15867539952;15971399177	ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174341/ERR174341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR174/ERR174341/ERR174341_2.fastq.gz
